Duration of audio file,Number of audio files with that duration
1877,595
2048,579
1792,555
1963,520
2219,491
1707,491
1621,478
2133,473
2389,415
2304,413
1536,339
2560,324
2475,307
20000,300
1451,280
1765,252
1672,248
2731,239
2645,224
1579,217
1950,210
1858,207
2043,194
1365,192
2816,166
1486,163
2136,162
2901,149
2322,138
2229,128
1280,128
2415,121
2987,117
1393,104
2508,98
3157,98
3072,87
3328,80
2601,77
3243,71
1195,66
2694,60
1300,59
1109,59
2786,41
3413,39
1024,38
3584,35
2879,35
3499,34
2972,30
3669,26
1207,25
3925,24
939,23
3065,18
3840,16
3755,16
4096,15
3251,14
3158,14
1115,12
3529,11
4437,10
853,10
3901,9
3437,9
4181,9
4011,8
3344,8
4523,7
1022,7
3622,6
3715,6
4608,6
3808,5
4352,5
4267,4
2347,3
4949,2
2005,2
5035,2
768,2
4864,2
5803,2
3994,2
4272,2
2112,2
650,2
683,2
6400,1
4180,1
13227,1
7424,1
4087,1
5461,1
9045,1
4779,1
5376,1
4923,1
5205,1
8960,1
929,1
4737,1
4365,1
4830,1
4644,1
743,1
1749,1
4458,1
2069,1
2325,1
2240,1
2603,1
1856,1
2176,1
6502,1
8081,1
7245,1
1920,1
1941,1
5120,1
6827,1
6656,1
5291,1
